,eye_id,timestamp,topic,confidence,diameter_2d [px],diameter_3d [mm],timestamp_corrected
76413,0,1583864126.054869,pupil.0,0.9982927729348908,46.43825367080845,2.9194487702524032,0.9506759643554688
76416,0,1583864126.062938,pupil.0,0.983649575784826,46.70908201748942,2.9365064565182224,0.958745002746582
76417,0,1583864126.071007,pupil.0,0.9828969017355238,46.67915884636339,2.934591730336355,0.9668140411376953
76419,0,1583864126.0790758,pupil.0,0.9554889742427756,46.99084332832289,2.954217620703885,0.9748828411102295
76421,0,1583864126.0871446,pupil.0,0.9975628581138204,46.92199217760417,2.9498604084152245,0.9829516410827637
76423,0,1583864126.0952141,pupil.0,0.9981755445783352,46.80674144445649,2.9426187916299016,0.9910211563110352
76425,0,1583864126.103283,pupil.0,0.922652992122486,46.61440370940466,2.9304650029253976,0.9990899562835693
76427,0,1583864126.111352,pupil.0,0.9804254072157268,46.98266477288345,2.9536577521417198,1.0071589946746826
76429,0,1583864126.119422,pupil.0,0.9976371327324928,47.16854553546146,2.965316984763679,1.0152289867401123
76431,0,1583864126.127491,pupil.0,0.9975215074056278,47.09703916617336,2.960817194151708,1.0232980251312256
76434,0,1583864126.1355598,pupil.0,0.990488492548908,47.274512252479774,2.9720954473146164,1.0313668251037598
76435,0,1583864126.1436286,pupil.0,0.99794811891739,47.09607901719244,2.9607291187692337,1.039435625076294
76437,0,1583864126.151698,pupil.0,0.9973445593131038,47.309626618487094,2.974257382468061,1.0475051403045654
76439,0,1583864126.159767,pupil.0,0.9975593502316134,47.32434333027073,2.975098177290897,1.0555739402770996
76441,0,1583864126.167836,pupil.0,0.9974658244689568,47.400236887912385,2.979043102410728,1.063642978668213
76443,0,1583864126.175905,pupil.0,0.9349949332886632,47.01521273012372,2.9522846951110653,1.0717120170593262
76445,0,1583864126.183974,pupil.0,0.9993859537190644,46.593475875915445,2.9234856962858333,1.0797810554504395
76447,0,1583864126.1920428,pupil.0,0.8354642400840332,46.13283284109417,2.8940056330627177,1.0878498554229736
76451,0,1583864126.2081811,pupil.0,0.8140670357328552,45.863466306312205,2.877043070123836,1.1039881706237793
76453,0,1583864126.21625,pupil.0,0.8005741350816628,46.122573413047284,2.89324249440356,1.1120569705963135
76455,0,1583864126.224319,pupil.0,0.9664216180079508,47.152458349994276,2.9577976525142766,1.1201260089874268
76457,0,1583864126.232388,pupil.0,0.9995348356736672,46.88949572206043,2.9412176119109863,1.12819504737854
76459,0,1583864126.2404568,pupil.0,0.8303129896710852,46.52907255958204,2.9187298210667776,1.1362638473510742
76461,0,1583864126.2485259,pupil.0,0.99935043928023,47.121544840389454,2.9557875595852887,1.1443328857421875
76463,0,1583864126.256595,pupil.0,0.9995742154423564,46.96482687715054,2.9459220203506327,1.1524019241333008
76465,0,1583864126.2646642,pupil.0,0.9853324536989886,47.15172451790879,2.9576235811794733,1.1604712009429932
76468,0,1583864126.272734,pupil.0,0.9964014915094106,47.04359734306803,2.9508755098369215,1.1685409545898438
76469,0,1583864126.280803,pupil.0,0.9992866220350498,47.30066766272886,2.9669493063226837,1.176609992980957
76471,0,1583864126.288872,pupil.0,0.999135822625479,47.34024601581953,2.9694412045051815,1.1846790313720703
76473,0,1583864126.2969408,pupil.0,0.950796992248724,47.31601737646484,2.9679418814455216,1.1927478313446045
76475,0,1583864126.3050098,pupil.0,0.9992503468487424,47.31525015235743,2.9678406784742655,1.2008168697357178
76477,0,1583864126.3130786,pupil.0,0.8575534871446173,47.02410475275432,2.9496167914783538,1.208885669708252
76480,0,1583864126.3211482,pupil.0,0.9983795730269494,47.66132026258514,2.9896043144337336,1.2169551849365234
76482,0,1583864126.329217,pupil.0,0.9994782253724224,47.3438449926315,2.9696329996923487,1.2250239849090576
76483,0,1583864126.337286,pupil.0,0.99878560502629,47.465121630286724,2.9772629290503336,1.233093023300171
76488,0,1583864126.3534238,pupil.0,0.93871490839994,47.22937873257674,2.9623616817517813,1.2492308616638184
76489,0,1583864126.3614929,pupil.0,0.9526722489903658,47.347883047495834,2.9698052677440065,1.2572999000549316
76491,0,1583864126.369562,pupil.0,0.9995741445826852,47.236726979111,2.9628113710738266,1.265368938446045
76494,0,1583864126.377631,pupil.0,0.9707782360100397,47.40575047281625,2.9734478307952785,1.2734379768371582
76495,0,1583864126.3857,pupil.0,0.998143664584818,47.83356615326321,3.000408867816346,1.2815070152282715
76497,0,1583864126.393769,pupil.0,0.998921210098778,47.78599266044671,2.99732334696227,1.2895760536193848
76500,0,1583864126.4018376,pupil.0,0.9662113616438328,47.64960003740121,2.988834886974723,1.2976446151733398
76501,0,1583864126.4099069,pupil.0,0.9988584308056424,47.6506375942768,2.988795778418203,1.3057138919830322
76503,0,1583864126.417976,pupil.0,0.9961713926104389,47.67508744680164,2.9903758721757483,1.3137829303741455
76507,0,1583864126.434115,pupil.0,0.9722582416139908,47.636167749710175,2.987849136709073,1.3299219608306885
76509,0,1583864126.442184,pupil.0,0.9989693071539868,47.67413704789256,2.9902878795672985,1.3379909992218018
76511,0,1583864126.450253,pupil.0,0.998376358872533,47.980362777979714,3.009481555190065,1.346060037612915
76513,0,1583864126.4583216,pupil.0,0.9989384405342524,47.88113256868347,3.003208183994876,1.3541285991668701
76515,0,1583864126.4663908,pupil.0,0.999101460826383,47.814100591241754,2.9990348277960277,1.3621978759765625
76517,0,1583864126.47446,pupil.0,0.9719633997542748,47.724841644103826,2.993375819337456,1.3702669143676758
76519,0,1583864126.482529,pupil.0,0.9986992287205236,47.848699561234454,3.001214864417705,1.378335952758789
76521,0,1583864126.490598,pupil.0,0.9941424916249156,48.03504601718485,3.012888305432618,1.3864049911499023
76523,0,1583864126.498667,pupil.0,0.9990976119764368,47.70057304625496,2.991860614867617,1.3944740295410156
76531,0,1583864126.530943,pupil.0,0.9681658416841754,47.87452193541255,3.0027507287947466,1.4267499446868896
76533,0,1583864126.539012,pupil.0,0.9990502146108596,47.82584585581278,2.9997520715592567,1.434818983078003
76535,0,1583864126.547081,pupil.0,0.9987979386351776,47.93206484663032,3.0063863332082144,1.4428880214691162
76537,0,1583864126.55515,pupil.0,0.9946109515682512,47.91800688924399,3.0055784478887526,1.4509570598602295
76539,0,1583864126.5632188,pupil.0,0.985350048178321,47.85759041409953,3.0025205530988104,1.4590258598327637
76541,0,1583864126.571288,pupil.0,0.9989827288271532,47.838056647912595,3.0023189345356447,1.467095136642456
