block,exp_event,task,timestamp,trial
1,Ending trial 30 in block 1,End trial,1575397799.591115,30
1,Begin for trial 31 in block 1,Trial begins,1575397799.592643,31
1,Fixation dot begins for trial 31 in block 1,Fixation dot,1575397799.592745,31
1,Image onset for trial 31 in block 1,Image onset,1575397800.695211,31
1,Adjust Task begins for trial 31 in block 1,Adjust task,1575397802.240181,31
1,Adjust Task ends for trial 31 in block 1,,1575397804.407615,31
1,Ending trial 31 in block 1,End trial,1575397804.4249222,31
1,Begin for trial 32 in block 1,Trial begins,1575397804.426027,32
1,Fixation dot begins for trial 32 in block 1,Fixation dot,1575397804.426364,32
1,Image onset for trial 32 in block 1,Image onset,1575397805.6912,32
1,Adjust Task begins for trial 32 in block 1,Adjust task,1575397807.2409441,32
1,Adjust Task ends for trial 32 in block 1,,1575397808.1239831,32
1,Ending trial 32 in block 1,End trial,1575397808.141255,32
1,Begin for trial 33 in block 1,Trial begins,1575397808.1423411,33
1,Fixation dot begins for trial 33 in block 1,Fixation dot,1575397808.142477,33
1,Image onset for trial 33 in block 1,Image onset,1575397809.0036511,33
1,Adjust Task begins for trial 33 in block 1,Adjust task,1575397810.5574982,33
1,Adjust Task ends for trial 33 in block 1,,1575397812.440972,33
1,Ending trial 33 in block 1,End trial,1575397812.457977,33
1,Begin for trial 34 in block 1,Trial begins,1575397812.459031,34
1,Fixation dot begins for trial 34 in block 1,Fixation dot,1575397812.459177,34
1,Image onset for trial 34 in block 1,Image onset,1575397813.546026,34
1,Adjust Task begins for trial 34 in block 1,Adjust task,1575397815.108248,34
1,Adjust Task ends for trial 34 in block 1,,1575397817.158995,34
1,Ending trial 34 in block 1,End trial,1575397817.175475,34
1,Begin for trial 35 in block 1,Trial begins,1575397817.1972458,35
1,Fixation dot begins for trial 35 in block 1,Fixation dot,1575397817.197475,35
1,Image onset for trial 35 in block 1,Image onset,1575397818.260879,35
1,Adjust Task begins for trial 35 in block 1,Adjust task,1575397819.8084621,35
1,Adjust Task ends for trial 35 in block 1,,1575397821.074971,35
1,Ending trial 35 in block 1,End trial,1575397821.091707,35
1,Begin for trial 36 in block 1,Trial begins,1575397821.0925179,36
1,Fixation dot begins for trial 36 in block 1,Fixation dot,1575397821.0925992,36
1,Image onset for trial 36 in block 1,Image onset,1575397822.283668,36
1,Adjust Task begins for trial 36 in block 1,Adjust task,1575397823.841693,36
1,Adjust Task ends for trial 36 in block 1,,1575397825.2572072,36
1,Ending trial 36 in block 1,End trial,1575397825.277663,36
1,Begin for trial 37 in block 1,Trial begins,1575397825.278691,37
1,Fixation dot begins for trial 37 in block 1,Fixation dot,1575397825.278784,37
1,Image onset for trial 37 in block 1,Image onset,1575397825.672957,37
1,Adjust Task begins for trial 37 in block 1,Adjust task,1575397827.191301,37
1,Adjust Task ends for trial 37 in block 1,,1575397829.174301,37
1,Ending trial 37 in block 1,End trial,1575397829.19195,37
1,Begin for trial 38 in block 1,Trial begins,1575397829.19304,38
1,Fixation dot begins for trial 38 in block 1,Fixation dot,1575397829.1932201,38
1,Image onset for trial 38 in block 1,Image onset,1575397830.539168,38
1,Adjust Task begins for trial 38 in block 1,Adjust task,1575397832.1417758,38
1,Adjust Task ends for trial 38 in block 1,,1575397833.4912908,38
1,Ending trial 38 in block 1,End trial,1575397833.508213,38
1,Begin for trial 39 in block 1,Trial begins,1575397833.509386,39
1,Fixation dot begins for trial 39 in block 1,Fixation dot,1575397833.509653,39
1,Image onset for trial 39 in block 1,Image onset,1575397834.418443,39
1,Adjust Task begins for trial 39 in block 1,Adjust task,1575397835.974457,39
1,Adjust Task ends for trial 39 in block 1,,1575397836.8747158,39
1,Ending trial 39 in block 1,End trial,1575397836.8911738,39
1,Begin for trial 40 in block 1,Trial begins,1575397836.892226,40
1,Fixation dot begins for trial 40 in block 1,Fixation dot,1575397836.892321,40
1,Image onset for trial 40 in block 1,Image onset,1575397838.131127,40
1,Adjust Task begins for trial 40 in block 1,Adjust task,1575397839.691145,40
1,Adjust Task ends for trial 40 in block 1,,1575397842.2912052,40
1,Ending trial 40 in block 1,End trial,1575397842.308086,40
1,Begin for trial 41 in block 1,Trial begins,1575397842.309255,41
1,Fixation dot begins for trial 41 in block 1,Fixation dot,1575397842.3093429,41
1,Image onset for trial 41 in block 1,Image onset,1575397843.320429,41
1,Adjust Task begins for trial 41 in block 1,Adjust task,1575397844.874532,41
1,Adjust Task ends for trial 41 in block 1,,1575397847.2578828,41
1,Ending trial 41 in block 1,End trial,1575397847.275525,41
1,Begin for trial 42 in block 1,Trial begins,1575397847.2765188,42
1,Fixation dot begins for trial 42 in block 1,Fixation dot,1575397847.276597,42
1,Image onset for trial 42 in block 1,Image onset,1575397848.624367,42
1,Adjust Task begins for trial 42 in block 1,Adjust task,1575397850.191838,42
1,Adjust Task ends for trial 42 in block 1,,1575397852.0919611,42
1,Ending trial 42 in block 1,End trial,1575397852.108682,42
1,Begin for trial 43 in block 1,Trial begins,1575397852.109643,43
1,Fixation dot begins for trial 43 in block 1,Fixation dot,1575397852.1097631,43
1,Image onset for trial 43 in block 1,Image onset,1575397853.135792,43
1,Adjust Task begins for trial 43 in block 1,Adjust task,1575397854.6747332,43
1,Adjust Task ends for trial 43 in block 1,,1575397858.674168,43
1,Ending trial 43 in block 1,End trial,1575397858.692566,43
1,Begin for trial 44 in block 1,Trial begins,1575397858.693425,44
1,Fixation dot begins for trial 44 in block 1,Fixation dot,1575397858.69355,44
1,Image onset for trial 44 in block 1,Image onset,1575397860.055986,44
1,Adjust Task begins for trial 44 in block 1,Adjust task,1575397861.609036,44
1,Adjust Task ends for trial 44 in block 1,,1575397864.1623611,44
1,Ending trial 44 in block 1,End trial,1575397864.176107,44
1,Begin for trial 45 in block 1,Trial begins,1575397864.1772811,45
1,Fixation dot begins for trial 45 in block 1,Fixation dot,1575397864.1775548,45
1,Image onset for trial 45 in block 1,Image onset,1575397865.6011279,45
1,Adjust Task begins for trial 45 in block 1,Adjust task,1575397867.158659,45
1,Adjust Task ends for trial 45 in block 1,,1575397871.559063,45
1,Ending trial 45 in block 1,End trial,1575397871.576046,45
1,Begin for trial 46 in block 1,Trial begins,1575397871.577099,46
1,Fixation dot begins for trial 46 in block 1,Fixation dot,1575397871.577224,46
1,Image onset for trial 46 in block 1,Image onset,1575397873.0398011,46
1,Adjust Task begins for trial 46 in block 1,Adjust task,1575397874.608926,46
1,Adjust Task ends for trial 46 in block 1,,1575397876.810241,46
1,Ending trial 46 in block 1,End trial,1575397876.825247,46
1,Begin for trial 47 in block 1,Trial begins,1575397876.8263419,47
1,Fixation dot begins for trial 47 in block 1,Fixation dot,1575397876.826427,47
