stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
113.0,113.0,4.382066249847412,14.0,2.0,182.0,6.0,337.0,8.0,2.0,-4.320835631728521,-41.0,-0.9940567329717719,2.318046324110284,2.509630691510071
6.0,8.0,6.3814661502838135,15.0,2.0,337.0,55.0,13.0,58.0,3.0,4.69924358622513,-49.0,-0.4721729364522492,5.625296537395494,2.063769893784331
55.0,58.0,7.149895906448363,16.0,2.0,13.0,105.0,334.0,97.0,-8.0,-16.21652407029358,-50.0,-0.42876325980198104,3.6205756094277652,1.807904662753713
105.0,97.0,7.917326688766479,17.0,2.0,334.0,116.0,304.0,133.0,17.0,17.434809067323677,-11.0,-3.5891415356149725,4.358427341614025,1.3049731401320066
116.0,133.0,6.830713987350464,18.0,2.0,304.0,94.0,209.0,137.0,43.0,31.927864427660616,22.0,3.5919611087747567,-3.7640535656830676,1.41592859165575
94.0,137.0,5.049752950668335,19.0,2.0,209.0,86.0,194.0,85.0,-1.0,-9.406817749078009,8.0,2.9260122318733583,-1.8937263086410718,2.4643686986632463
86.0,85.0,5.49812388420105,20.0,2.0,194.0,61.0,188.0,4.0,-57.0,-52.501500663036545,25.0,3.1681557799938145,3.863238858051352,4.17293807350951
61.0,4.0,6.297385931015015,21.0,2.0,188.0,71.0,140.0,83.0,12.0,14.150105640853504,-10.0,-3.4024379734003984,2.795275246317961,3.310662307570844
71.0,83.0,4.482170820236206,22.0,2.0,140.0,125.0,191.0,87.0,-38.0,-30.456704465685725,-54.0,-0.28980246747458727,2.5454816046198476,2.0478938902978068
125.0,87.0,4.0874178409576425,23.0,2.0,191.0,131.0,49.0,61.0,-70.0,-61.41258415454393,-6.0,-2.3224169041434295,8.160708872097343,2.0018426150231745
131.0,61.0,5.419989824295044,24.0,2.0,49.0,143.0,280.0,137.0,-6.0,-11.970650052478895,-12.0,-3.7407334316134597,2.056463923180975,1.1664209841635926
143.0,137.0,3.03063702583313,25.0,2.0,280.0,58.0,213.0,69.0,11.0,14.492672275697323,-63.0,-0.11237148977876484,4.282905584412751,1.8725809827186042
58.0,69.0,4.3830649852752686,26.0,2.0,213.0,82.0,226.0,65.0,-17.0,-22.84258269008631,-24.0,-3.318224827386278,4.3157830885715995,1.5720779426087237
82.0,65.0,3.3359038829803467,27.0,2.0,226.0,48.0,216.0,61.0,13.0,8.421963286920636,34.0,1.7831315489816517,6.842357954248248,3.407722359229653
