peak_velocity,start_gx,type,sd,start_gy,amplitude,rms,end_time,end_gy,mean_gy,duration,blink_id,end_gx,mean_gx,start_time,end_point
,,blink,,,,,1575397577.1385899,,,,144.0,,,1575397577.074037,
,,blink,,,,,1575397578.5910187,,,,145.0,,,1575397578.4457757,
,,blink,,,,,1575397579.1806803,,,,146.0,,,1575397578.8815043,
,,blink,,,,,1575397579.5760632,,,,147.0,,,1575397579.4140615,
,,blink,,,,,1575397580.4025202,,,,148.0,,,1575397580.3056917,
,,blink,,,,,1575397580.9149046,,,,149.0,,,1575397580.769662,
,,blink,,,,,1575397581.1045272,,,,150.0,,,1575397580.9673538,
,,blink,,,,,1575397581.3109093,,,,151.0,,,1575397581.1771488,
,,blink,,,,,1575397581.6693606,,,,152.0,,,1575397581.5678773,
,,blink,,,,,1575397581.8468797,,,,153.0,,,1575397581.7789142,
,,blink,,,,,1575397582.1171932,,,,154.0,,,1575397581.9921227,
,,blink,,,,,1575397583.0209262,,,,155.0,,,1575397582.9281328,
,,blink,,,,,1575397583.7154863,,,,156.0,,,1575397583.5534844,
,,blink,,,,,1575397585.3730543,,,,157.0,,,1575397585.2036047,
,,blink,,,,,1575397585.7879894,,,,158.0,,,1575397585.4698827,
,,blink,,,,,1575397586.1268892,,,,159.0,,,1575397585.9863024,
,,blink,,,,,1575397586.6606894,,,,160.0,,,1575397586.462376,
,,blink,,,,,1575397587.4790764,,,,161.0,,,1575397587.3782134,
,,blink,,,,,1575397587.9470813,,,,162.0,,,1575397587.8502522,
,,blink,,,,,1575397588.6698823,,,,163.0,,,1575397588.5119143,
,,blink,,,,,1575397588.9591253,,,,164.0,,,1575397588.8219512,
,,blink,,,,,1575397591.1216302,,,,165.0,,,1575397590.9521766,
,,blink,,,,,1575397591.8518758,,,,166.0,,,1575397591.7187362,
,,blink,,,,,1575397592.0455327,,,,167.0,,,1575397591.9406347,
,,blink,,,,,1575397592.3279488,,,,168.0,,,1575397592.2674353,
,,blink,,,,,1575397592.5619512,,,,169.0,,,1575397592.4651227,
,,blink,,,,,1575397592.7999923,,,,170.0,,,1575397592.6386068,
,,blink,,,,,1575397593.9296594,,,,171.0,,,1575397593.7682734,
,,blink,,,,,1575397594.4864233,,,,172.0,,,1575397594.3169732,
,,blink,,,,,1575397595.0835333,,,,173.0,,,1575397594.9382849,
,,blink,,,,,1575397595.8662248,,,,174.0,,,1575397595.8218453,
,,blink,,,,,1575397597.1411402,,,,175.0,,,1575397596.9878223,
,,blink,,,,,1575397597.6898293,,,,176.0,,,1575397597.605104,
,,blink,,,,,1575397598.2546616,,,,177.0,,,1575397598.1255574,
,,blink,,,,,1575397598.4886563,,,,178.0,,,1575397598.3313184,
,,blink,,,,,1575397599.6425292,,,,179.0,,,1575397599.3923974,
,,blink,,,,,1575397600.8972738,,,,180.0,,,1575397600.7560658,
,,blink,,,,,1575397601.441934,,,,181.0,,,1575397601.3209083,
,,blink,,,,,1575397601.8090763,,,,182.0,,,1575397601.7162824,
,,blink,,,,,1575397602.4545994,,,,183.0,,,1575397602.1721833,
,,blink,,,,,1575397602.8540173,,,,184.0,,,1575397602.7733269,
,,blink,,,,,1575397603.0718813,,,,185.0,,,1575397602.9669843,
,,blink,,,,,1575397603.3260567,,,,186.0,,,1575397603.2050207,
,,blink,,,,,1575397603.7900372,,,,187.0,,,1575397603.6286457,
,,blink,,,,,1575397605.4118934,,,,188.0,,,1575397605.2343853,
,,blink,,,,,1575397605.9444504,,,,189.0,,,1575397605.7750232,
,,blink,,,,,1575397608.6314662,,,,190.0,,,1575397608.3086913,
,,blink,,,,,1575397609.6884842,,,,191.0,,,1575397609.5271168,
,,blink,,,,,1575397610.7697496,,,,192.0,,,1575397610.6809902,
,,blink,,,,,1575397611.3628242,,,,193.0,,,1575397611.2619617,
,,blink,,,,,1575397613.4325502,,,,194.0,,,1575397613.2711537,
,,blink,,,,,1575397615.0382583,,,,195.0,,,1575397614.8849628,
,,blink,,,,,1575397615.7725403,,,,196.0,,,1575397615.5950384,
,,blink,,,,,1575397618.7338784,,,,197.0,,,1575397618.3990312,
,,blink,,,,,1575397619.7021632,,,,198.0,,,1575397619.5407822,
,,blink,,,,,1575397620.0935307,,,,199.0,,,1575397619.9442534,
,,blink,,,,,1575397620.9367456,,,,200.0,,,1575397620.7471232,
,,blink,,,,,1575397621.1304224,,,,201.0,,,1575397620.993229,
,,blink,,,,,1575397622.3326902,,,,202.0,,,1575397621.7113543,
,,blink,,,,,1575397623.0508564,,,,203.0,,,1575397622.9378893,
,,blink,,,,,1575397623.7044072,,,,204.0,,,1575397623.5753443,
,,blink,,,,,1575397624.4468012,,,,205.0,,,1575397624.3096273,
,,blink,,,,,1575397625.1165109,,,,206.0,,,1575397624.9672332,
,,blink,,,,,1575397625.5925622,,,,207.0,,,1575397625.443307,
,,blink,,,,,1575397626.0646234,,,,208.0,,,1575397625.7620344,
,,blink,,,,,1575397627.2951753,,,,209.0,,,1575397627.133772,
,,blink,,,,,1575397628.0940113,,,,210.0,,,1575397627.9447107,
,,blink,,,,,1575397628.5095444,,,,211.0,,,1575397628.444991,
,,blink,,,,,1575397629.0541801,,,,212.0,,,1575397628.8807197,
,,blink,,,,,1575397629.4818392,,,,213.0,,,1575397629.3567939,
,,blink,,,,,1575397631.1118107,,,,214.0,,,1575397631.0391643,
,,blink,,,,,1575397631.4506853,,,,215.0,,,1575397631.2167332,
,,blink,,,,,1575397633.2299347,,,,216.0,,,1575397633.1008298,
,,blink,,,,,1575397635.4449153,,,,217.0,,,1575397635.1503677,
,,blink,,,,,1575397635.9855413,,,,218.0,,,1575397635.8402982,
,,blink,,,,,1575397641.4079423,,,,219.0,,,1575397641.2707376,
,,blink,,,,,1575397646.3380642,,,,220.0,,,1575397646.1847854,
,,blink,,,,,1575397660.7715468,,,,221.0,,,1575397660.6424422,
,,blink,,,,,1575397664.3905196,,,,222.0,,,1575397664.253346,
,,blink,,,,,1575397669.5668206,,,,223.0,,,1575397669.4296472,
,,blink,,,,,1575397695.9082627,,,,224.0,,,1575397695.7912617,
,,blink,,,,,1575397720.4685247,,,,225.0,,,1575397720.3313513,
,,blink,,,,,1575397726.2137272,,,,226.0,,,1575397726.0523043,
,,blink,,,,,1575397727.4845603,,,,227.0,,,1575397727.2465227,
,,blink,,,,,1575397751.2317598,,,,228.0,,,1575397751.1389658,
,,blink,,,,,1575397764.6626604,,,,229.0,,,1575397764.5093737,
